County,State,Year,Price
Baltimore County,MD,2005,163.66666666666666
Pierce County,WA,2005,148.91666666666666
Snohomish County,WA,2005,179.08333333333334
Baltimore City,MD,2005,90.5
District of Columbia,DC,2005,348.5833333333333
Anne Arundel County,MD,2005,222.58333333333334
Spokane County,WA,2005,124.75
Virginia Beach City,VA,2005,142.75
Clark County,WA,2005,139.0
Prince William County,VA,2005,231.66666666666666
Chesterfield County,VA,2005,106.16666666666667
Loudoun County,VA,2005,247.16666666666666
Henrico County,VA,2005,123.5
Howard County,MD,2005,223.91666666666666
Thurston County,WA,2005,134.58333333333334
Kitsap County,WA,2005,169.33333333333334
Harford County,MD,2005,161.83333333333334
Yakima County,WA,2005,88.33333333333333
Norfolk City,VA,2005,116.58333333333333
Frederick County,MD,2005,197.16666666666666
Chesapeake City,VA,2005,134.16666666666666
Arlington County,VA,2005,408.8333333333333
Richmond City,VA,2005,95.83333333333333
Whatcom County,WA,2005,170.58333333333334
Newport News City,VA,2005,110.91666666666667
Benton County,WA,2005,93.33333333333333
Carroll County,MD,2005,195.66666666666666
Washington County,MD,2005,142.66666666666666
Charles County,MD,2005,174.75
Hampton City,VA,2005,104.33333333333333
Stafford County,VA,2005,192.33333333333334
Spotsylvania County,VA,2005,173.41666666666666
Skagit County,WA,2005,155.66666666666666
Saint Marys County,MD,2005,161.5
Cowlitz County,WA,2005,100.66666666666667
Cecil County,MD,2005,146.75
Hanover County,VA,2005,125.16666666666667
Wicomico County,MD,2005,107.0
Roanoke City,VA,2005,81.16666666666667
Portsmouth City,VA,2005,101.5
Montgomery County,VA,2005,108.0
Roanoke County,VA,2005,100.5
Grant County,WA,2005,83.83333333333333
Calvert County,MD,2005,205.25
Suffolk City,VA,2005,126.08333333333333
Island County,WA,2005,162.5
Frederick County,VA,2005,165.41666666666666
Franklin County,WA,2005,83.16666666666667
Lynchburg City,VA,2005,66.91666666666667
Lewis County,WA,2005,103.25
Allegany County,MD,2005,59.583333333333336
Augusta County,VA,2005,113.5
Grays Harbor County,WA,2005,81.75
Chelan County,WA,2005,122.83333333333333
Clallam County,WA,2005,149.08333333333334
Bedford County,VA,2005,108.5
James City County,VA,2005,135.58333333333334
York County,VA,2005,131.83333333333334
Fauquier County,VA,2005,211.58333333333334
Pittsylvania County,VA,2005,77.66666666666667
Mason County,WA,2005,121.91666666666667
Walla Walla County,WA,2005,112.16666666666667
Franklin County,VA,2005,105.16666666666667
Washington County,VA,2005,81.0
Henry County,VA,2005,66.83333333333333
Worcester County,MD,2005,275.0
Harrisonburg City,VA,2005,127.16666666666667
Queen Annes County,MD,2005,181.5
Culpeper County,VA,2005,166.08333333333334
Whitman County,WA,2005,
Stevens County,WA,2005,82.91666666666667
Charlottesville City,VA,2005,179.66666666666666
Shenandoah County,VA,2005,137.33333333333334
Okanogan County,WA,2005,80.66666666666667
Kittitas County,WA,2005,134.16666666666666
Douglas County,WA,2005,115.5
Talbot County,MD,2005,167.66666666666666
Warren County,VA,2005,171.16666666666666
Gloucester County,VA,2005,119.16666666666667
Prince George County,VA,2005,103.91666666666667
Isle of Wight County,VA,2005,123.91666666666667
Orange County,VA,2005,151.25
Louisa County,VA,2005,127.5
Botetourt County,VA,2005,110.75
Caroline County,MD,2005,128.58333333333334
Dorchester County,MD,2005,117.91666666666667
Amherst County,VA,2005,106.0
Garrett County,MD,2005,108.08333333333333
Jefferson County,WA,2005,177.41666666666666
Caroline County,VA,2005,154.16666666666666
Powhatan County,VA,2005,126.08333333333333
Somerset County,MD,2005,86.25
Winchester City,VA,2005,168.5
Fluvanna County,VA,2005,132.08333333333334
Salem City,VA,2005,108.75
Fredericksburg City,VA,2005,171.16666666666666
Page County,VA,2005,97.33333333333333
Staunton City,VA,2005,96.75
King George County,VA,2005,150.41666666666666
Scott County,VA,2005,58.75
Hopewell City,VA,2005,84.41666666666667
Fairfax City,VA,2005,284.0833333333333
Rockbridge County,VA,2005,92.83333333333333
Goochland County,VA,2005,136.25
Asotin County,WA,2005,104.75
Waynesboro City,VA,2005,99.33333333333333
Pacific County,WA,2005,76.41666666666667
Klickitat County,WA,2005,94.08333333333333
Kent County,MD,2005,134.08333333333334
Adams County,WA,2005,68.58333333333333
New Kent County,VA,2005,109.33333333333333
Greene County,VA,2005,132.91666666666666
Bristol City,VA,2005,67.75
Colonial Heights City,VA,2005,95.25
Giles County,VA,2005,62.75
Alleghany County,VA,2005,
King William County,VA,2005,116.08333333333333
San Juan County,WA,2005,264.4166666666667
Grayson County,VA,2005,74.25
Nelson County,VA,2005,157.75
Manassas Park City,VA,2005,
Williamsburg City,VA,2005,150.16666666666666
Clarke County,VA,2005,182.16666666666666
Falls Church City,VA,2005,335.4166666666667
Poquoson City,VA,2005,135.41666666666666
Essex County,VA,2005,111.91666666666667
Middlesex County,VA,2005,173.5
Ferry County,WA,2005,
King County,WA,2006,237.25
Fairfax County,VA,2006,306.9166666666667
Montgomery County,MD,2006,299.75
Prince Georges County,MD,2006,220.75
Baltimore County,MD,2006,185.66666666666666
Pierce County,WA,2006,172.08333333333334
Snohomish County,WA,2006,210.83333333333334
Baltimore City,MD,2006,112.66666666666667
District of Columbia,DC,2006,371.1666666666667
Anne Arundel County,MD,2006,243.83333333333334
Spokane County,WA,2006,146.25
Virginia Beach City,VA,2006,158.91666666666666
Clark County,WA,2006,162.33333333333334
Prince William County,VA,2006,238.0
Chesterfield County,VA,2006,120.75
Loudoun County,VA,2006,246.33333333333334
Henrico County,VA,2006,136.16666666666666
Howard County,MD,2006,243.0
Thurston County,WA,2006,155.08333333333334
Kitsap County,WA,2006,196.58333333333334
Harford County,MD,2006,180.41666666666666
Yakima County,WA,2006,95.41666666666667
Norfolk City,VA,2006,137.0
Frederick County,MD,2006,211.83333333333334
Chesapeake City,VA,2006,151.08333333333334
Arlington County,VA,2006,418.8333333333333
Richmond City,VA,2006,109.91666666666667
Whatcom County,WA,2006,192.08333333333334
Newport News City,VA,2006,128.83333333333334
Benton County,WA,2006,99.08333333333333
Carroll County,MD,2006,210.58333333333334
Washington County,MD,2006,156.41666666666666
Charles County,MD,2006,197.75
Hampton City,VA,2006,120.91666666666667
Stafford County,VA,2006,201.25
Spotsylvania County,VA,2006,183.66666666666666
Skagit County,WA,2006,181.75
Saint Marys County,MD,2006,181.41666666666666
Cowlitz County,WA,2006,124.58333333333333
Cecil County,MD,2006,163.83333333333334
Hanover County,VA,2006,141.16666666666666
Wicomico County,MD,2006,122.91666666666667
Roanoke City,VA,2006,87.91666666666667
Portsmouth City,VA,2006,120.0
Montgomery County,VA,2006,119.83333333333333
Roanoke County,VA,2006,110.16666666666667
Grant County,WA,2006,95.41666666666667
Calvert County,MD,2006,225.58333333333334
Suffolk City,VA,2006,137.75
Island County,WA,2006,192.66666666666666
Frederick County,VA,2006,176.08333333333334
Franklin County,WA,2006,90.33333333333333
Lynchburg City,VA,2006,74.75
Lewis County,WA,2006,114.83333333333333
Allegany County,MD,2006,68.58333333333333
Augusta County,VA,2006,124.25
Grays Harbor County,WA,2006,103.41666666666667
Chelan County,WA,2006,151.25
Clallam County,WA,2006,172.25
Bedford County,VA,2006,118.08333333333333
James City County,VA,2006,152.66666666666666
York County,VA,2006,147.5
Fauquier County,VA,2006,223.83333333333334
Pittsylvania County,VA,2006,80.33333333333333
Mason County,WA,2006,155.91666666666666
Walla Walla County,WA,2006,125.58333333333333
Franklin County,VA,2006,114.25
Washington County,VA,2006,82.0
Henry County,VA,2006,76.0
Worcester County,MD,2006,289.25
Harrisonburg City,VA,2006,134.25
Queen Annes County,MD,2006,201.5
Culpeper County,VA,2006,179.16666666666666
Whitman County,WA,2006,
Stevens County,WA,2006,95.5
Charlottesville City,VA,2006,210.16666666666666
Shenandoah County,VA,2006,149.66666666666666
Okanogan County,WA,2006,93.5
Kittitas County,WA,2006,158.83333333333334
Douglas County,WA,2006,139.0
Talbot County,MD,2006,183.83333333333334
Warren County,VA,2006,185.5
Gloucester County,VA,2006,139.08333333333334
Prince George County,VA,2006,122.33333333333333
Isle of Wight County,VA,2006,131.41666666666666
Orange County,VA,2006,155.33333333333334
Louisa County,VA,2006,143.0
Botetourt County,VA,2006,121.91666666666667
Caroline County,MD,2006,146.25
Dorchester County,MD,2006,127.25
Amherst County,VA,2006,109.91666666666667
Garrett County,MD,2006,117.0
Jefferson County,WA,2006,207.25
Caroline County,VA,2006,164.16666666666666
Powhatan County,VA,2006,143.66666666666666
Somerset County,MD,2006,96.83333333333333
Winchester City,VA,2006,179.0
Fluvanna County,VA,2006,144.5
Salem City,VA,2006,115.5
Fredericksburg City,VA,2006,173.33333333333334
Page County,VA,2006,109.25
Staunton City,VA,2006,117.83333333333333
King George County,VA,2006,167.91666666666666
Scott County,VA,2006,57.5
Hopewell City,VA,2006,94.5
Fairfax City,VA,2006,292.0833333333333
Rockbridge County,VA,2006,94.66666666666667
Goochland County,VA,2006,148.75
Asotin County,WA,2006,115.5
Waynesboro City,VA,2006,116.66666666666667
Pacific County,WA,2006,74.5
Klickitat County,WA,2006,118.5
Kent County,MD,2006,146.41666666666666
Adams County,WA,2006,77.58333333333333
New Kent County,VA,2006,130.08333333333334
Greene County,VA,2006,149.08333333333334
Bristol City,VA,2006,70.83333333333333
Colonial Heights City,VA,2006,109.25
Giles County,VA,2006,74.66666666666667
Alleghany County,VA,2006,
King William County,VA,2006,130.16666666666666
San Juan County,WA,2006,319.4166666666667
Grayson County,VA,2006,74.33333333333333
Nelson County,VA,2006,165.58333333333334
Manassas Park City,VA,2006,
Williamsburg City,VA,2006,171.58333333333334
Clarke County,VA,2006,197.75
Falls Church City,VA,2006,346.4166666666667
Poquoson City,VA,2006,151.75
Essex County,VA,2006,124.5
Middlesex County,VA,2006,154.33333333333334
Ferry County,WA,2006,
King County,WA,2007,254.41666666666666
Fairfax County,VA,2007,287.6666666666667
Montgomery County,MD,2007,289.0
Prince Georges County,MD,2007,221.91666666666666
Baltimore County,MD,2007,187.83333333333334
Pierce County,WA,2007,179.41666666666666
Snohomish County,WA,2007,226.5
Baltimore City,MD,2007,123.91666666666667
District of Columbia,DC,2007,371.1666666666667
Anne Arundel County,MD,2007,239.75
Spokane County,WA,2007,158.0
Virginia Beach City,VA,2007,159.83333333333334
Clark County,WA,2007,164.83333333333334
Prince William County,VA,2007,211.91666666666666
Chesterfield County,VA,2007,125.0
Loudoun County,VA,2007,221.75
Henrico County,VA,2007,140.0
Howard County,MD,2007,238.41666666666666
Thurston County,WA,2007,161.16666666666666
Kitsap County,WA,2007,201.41666666666666
Harford County,MD,2007,179.83333333333334
Yakima County,WA,2007,103.25
Norfolk City,VA,2007,143.25
Frederick County,MD,2007,201.66666666666666
Chesapeake City,VA,2007,152.58333333333334
Arlington County,VA,2007,409.3333333333333
Richmond City,VA,2007,118.16666666666667
Whatcom County,WA,2007,195.75
Newport News City,VA,2007,134.41666666666666
Benton County,WA,2007,101.75
Carroll County,MD,2007,206.91666666666666
Washington County,MD,2007,150.83333333333334
Charles County,MD,2007,197.41666666666666
Hampton City,VA,2007,127.91666666666667
Stafford County,VA,2007,183.08333333333334
Spotsylvania County,VA,2007,169.41666666666666
