RegionID,RegionName,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,(% change 2000-01),(% change 01-02),(% change 02-03),(% change 03-04),(% change 04-05),(% change 05-06),(% change 06-07),(% change 07-08),(% change 08-09),(% change 09-10),(% change 11-12),(% change 12-13),(% change 13-14),(% change 14-15),(% change 16-17),(% change 17-18)
2840,Salt Lake,UT,122.5,126.1666667,127.4166667,127.1666667,129.75,132.5833333,150.1666667,182.5,191.3333333,177.75,165.3333333,150,148.25,165.25,175.3333333,185.25,201.8333333,224.3333333,250.4166667,0.029931973,0.00990753,-0.001962067,0.020314548,0.021836866,0.132620993,0.215316315,0.048401826,-0.070993031,-0.069854665,-0.092741935,-0.011666667,0.114671164,0.061018659,0.056558935,0.089518668
1440,Travis,TX,101,104,103.75,103.0833333,105.3333333,109.75,113.6666667,120.5,122.4166667,118.4166667,118.6666667,116,117.9166667,125,135.3333333,146.75,160.9166667,173.0833333,186.8333333,0.02970297,-0.002403846,-0.006425703,0.021827001,0.04193038,0.035687168,0.060117302,0.015905947,-0.032675289,0.002111189,-0.02247191,0.016522989,0.060070671,0.082666667,0.084359606,0.096536059
3130,Saint Louis,MO,82.83333333,89.66666667,96.16666667,103.0833333,110.1666667,116.6666667,121.1666667,121.1666667,117,112.3333333,108.0833333,100.6666667,97.41666667,99.41666667,102.5833333,108.5,114.8333333,121.5833333,127.5833333,0.08249497,0.072490706,0.071923744,0.068714632,0.059001513,0.038571429,0,-0.034387895,-0.03988604,-0.037833828,-0.068619892,-0.032284768,0.020530368,0.031852473,0.057676686,0.058371736
281,Pima,AZ,75.08333333,79.58333333,84.66666667,92.16666667,102.75,129.5833333,148.8333333,143.5833333,128.4166667,112.0833333,101.25,88,86.91666667,93.83333333,98.66666667,101.1666667,107,114.75,124.5,0.059933407,0.063874346,0.088582677,0.11482821,0.261151663,0.148553055,-0.035274356,-0.105629716,-0.127190136,-0.096654275,-0.130864198,-0.012310606,0.07957814,0.051509769,0.025337838,0.057660626
2975,Montgomery,MD,126.9166667,143.9166667,170.0833333,198.8333333,236.5833333,282,299.75,289,259.8333333,234.75,229.5833333,224.1666667,224.5833333,237.5833333,249,251.5,255.3333333,262.1666667,270.5833333,0.133946159,0.181818182,0.169034787,0.189857502,0.191969003,0.062943262,-0.035863219,-0.100922722,-0.096536241,-0.02200923,-0.023593466,0.001858736,0.057884972,0.048053315,0.010040161,0.015241882
2347,Honolulu,HI,188.4166667,192.4166667,207.3333333,238.3333333,294.6666667,370.9166667,421.6666667,427.25,415,384.1666667,388.6666667,387.8333333,392.4166667,418.1666667,446.3333333,466.4166667,496.5833333,520.25,541.6666667,0.021229544,0.077522737,0.149517685,0.236363636,0.258766968,0.136823186,0.013241107,-0.028671738,-0.074297189,0.011713666,-0.002144082,0.011817791,0.065619027,0.067357513,0.044996266,0.064677506
3148,Westchester,NY,194.8333333,223.3333333,247.3333333,282.5,309.5,350.0833333,363.6666667,356.9166667,336.6666667,308.75,299.9166667,284,270.0833333,277.9166667,292.75,302.5,313.0833333,325.3333333,335.3333333,0.146278871,0.107462687,0.142183288,0.095575221,0.131125471,0.038800286,-0.018560953,-0.056735933,-0.082920792,-0.028609987,-0.053070297,-0.049002347,0.029003394,0.053373313,0.033304868,0.034986226
2804,Milwaukee,WI,79.75,85,91.83333333,100.1666667,109.9166667,120.25,125.6666667,124.4166667,118.8333333,110.75,106.5833333,97.16666667,90.41666667,91.91666667,93.66666667,97.66666667,102.25,110.5833333,117.8333333,0.065830721,0.080392157,0.090744102,0.09733777,0.094010614,0.045045045,-0.00994695,-0.044876088,-0.06802244,-0.037622272,-0.088350274,-0.069468268,0.016589862,0.019038985,0.042704626,0.046928328
1018,Fresno,CA,68.33333333,73.66666667,84.08333333,102.5,131.9166667,172.1666667,190.0833333,173.3333333,139.0833333,110.1666667,101.5833333,90.58333333,89.58333333,101.5833333,113.4166667,120.75,130.1666667,141.25,151.4166667,0.07804878,0.141402715,0.219028741,0.28699187,0.305116867,0.104065828,-0.088119246,-0.197596154,-0.207908928,-0.077912254,-0.10828548,-0.011039558,0.133953488,0.116488925,0.064658339,0.077984817
1388,Shelby,TN,60.66666667,62.16666667,62.83333333,63.83333333,65.75,68,70.5,71.08333333,64.58333333,56.58333333,55.66666667,53.08333333,51.75,52.41666667,54.75,57.08333333,61,68,74.83333333,0.024725275,0.010723861,0.015915119,0.03002611,0.034220532,0.036764706,0.008274232,-0.09144197,-0.123870968,-0.016200295,-0.046407186,-0.025117739,0.012882448,0.044515103,0.04261796,0.068613139
1020,Fulton,GA,90.08333333,97.16666667,102.3333333,106.9166667,113.5,120.9166667,128.4166667,130.0833333,121.25,107.75,100.25,91.83333333,88.16666667,98.91666667,109.0833333,112,123.8333333,138.1666667,148.6666667,0.078630897,0.053173242,0.044788274,0.061574435,0.065345081,0.062026189,0.012978585,-0.067905189,-0.111340206,-0.069605568,-0.083956775,-0.039927405,0.121928166,0.102780118,0.026737968,0.105654762
3102,Mecklenburg,NC,78.25,80.33333333,80.83333333,81.83333333,82.91666667,86.33333333,91,96.66666667,96,90.08333333,86.25,80.25,79,83.33333333,89.33333333,94.25,101.75,112.25,123.25,0.026624068,0.006224066,0.012371134,0.013238289,0.04120603,0.054054054,0.062271062,-0.006896552,-0.061631944,-0.042553191,-0.069565217,-0.015576324,0.054852321,0.072,0.055037313,0.079575597
157,Erie,NY,58.58333333,61,65.16666667,70.16666667,74.08333333,78.25,80.33333333,82.66666667,82.66666667,82.83333333,84,84.41666667,84.75,87.5,91.08333333,94,99.16666667,105.9166667,113.4166667,0.041251778,0.068306011,0.076726343,0.055819477,0.05624297,0.026624068,0.029045643,0,0.002016129,0.014084507,0.004960317,0.003948667,0.032448378,0.040952381,0.032021958,0.054964539
1682,DuPage,IL,122.6666667,132.5,144,155.1666667,167.1666667,182.6666667,192.9166667,192.5,179.1666667,160.9166667,151.5833333,139.3333333,135.1666667,144.0833333,152.9166667,157.1666667,160.8333333,167.0833333,173.5,0.080163043,0.086792453,0.077546296,0.077336198,0.092721834,0.056113139,-0.002159827,-0.069264069,-0.101860465,-0.058001036,-0.080813634,-0.029904306,0.065967941,0.061307114,0.027792916,0.023329799
2694,Fairfield,CT,137.75,151.4166667,168,188.5833333,211.5,234.9166667,239.3333333,231.9166667,217.1666667,193.0833333,186.9166667,177.0833333,168.3333333,168.75,171.1666667,172.6666667,173.5,178.1666667,184.8333333,0.099213551,0.109521189,0.122519841,0.121520106,0.1107171,0.018800993,-0.030988858,-0.063600431,-0.110897928,-0.031937851,-0.052608114,-0.049411765,0.002475248,0.014320988,0.008763389,0.004826255
2480,Pinellas,FL,72.66666667,80.91666667,90.08333333,100.5833333,116.25,144.5833333,162.8333333,148,123.75,100.4166667,94.58333333,84.33333333,82.91666667,91.16666667,101.0833333,111.9166667,126.8333333,144.8333333,158.9166667,0.11353211,0.113285273,0.116558742,0.155758078,0.243727599,0.126224784,-0.091095189,-0.163851351,-0.188552189,-0.058091286,-0.108370044,-0.016798419,0.099497487,0.108775137,0.1071723,0.133283693
874,Bergen,NJ,149.8333333,165.5833333,187.8333333,213.8333333,242.25,276,295.9166667,289.5,272.6666667,250.75,242.8333333,230.5,219.75,227.1666667,234.8333333,236.3333333,242.5,254.5,265.0833333,0.105116796,0.134373427,0.138420586,0.13289166,0.139318885,0.072161836,-0.021684033,-0.058146229,-0.080378973,-0.031571951,-0.050789293,-0.046637744,0.033750474,0.033749083,0.006387509,0.026093089
1165,Marion,IN,65.75,67.75,68.75,69.91666667,70.5,76.91666667,79.83333333,80.66666667,78.91666667,71.16666667,66.41666667,62.08333333,59.16666667,56.75,60.91666667,66.75,72.66666667,78,86.5,0.030418251,0.014760148,0.016969697,0.008343266,0.091016548,0.037919827,0.010438413,-0.021694215,-0.098204857,-0.066744731,-0.065244668,-0.046979866,-0.04084507,0.073421439,0.095759234,0.088639201
324,Wake,NC,84.91666667,88.16666667,89.5,91.33333333,93.66666667,99.66666667,106.75,112.4166667,112.25,109.0833333,106.3333333,102.25,102.0833333,106.3333333,110.6666667,115.4166667,123.25,131.5,138,0.038272816,0.015122873,0.020484171,0.025547445,0.06405694,0.071070234,0.053083528,-0.00148258,-0.028210839,-0.025210084,-0.038401254,-0.001629992,0.041632653,0.040752351,0.042921687,0.067870036
2337,Hartford,CT,97,106.4166667,115.8333333,127.4166667,139.8333333,153.6666667,160.5,161.5,154.75,146.8333333,145.4166667,138.3333333,133.25,135,135.25,133.3333333,136.4166667,139.8333333,143.5,0.097079038,0.088488645,0.1,0.097449313,0.098927294,0.044468547,0.00623053,-0.041795666,-0.051157781,-0.009648127,-0.048710602,-0.036746988,0.013133208,0.001851852,-0.014171288,0.023125
489,Duval,FL,60.58333333,65.25,70.58333333,76.41666667,85.91666667,101.6666667,117.5,115.8333333,102.5,84.16666667,75.16666667,65.33333333,61.58333333,65.75,72.25,78.08333333,86.66666667,97.91666667,108.5833333,0.077028886,0.081736909,0.082644628,0.12431843,0.183317168,0.155737705,-0.014184397,-0.115107914,-0.178861789,-0.106930693,-0.130820399,-0.057397959,0.067658999,0.098859316,0.080738178,0.109925293
3246,Prince Georges,MD,91.83333333,97.5,108.5833333,124.0833333,148.25,194.1666667,220.75,221.9166667,194.1666667,159,137.9166667,126.3333333,122.5,132.8333333,145,154.25,161.6666667,171.8333333,184,0.061705989,0.113675214,0.142747506,0.194761585,0.309724564,0.136909871,0.005285013,-0.12504694,-0.18111588,-0.132599581,-0.083987915,-0.030343008,0.084353741,0.091593476,0.063793103,0.048082118
2815,New Haven,CT,98.5,109.4166667,122.1666667,139,157.0833333,177.5833333,186.5833333,181.6666667,168.9166667,157.6666667,154.8333333,144.4166667,137,138.75,139.0833333,138.25,138.5,141.8333333,147.0833333,0.110829103,0.116527037,0.137789905,0.130095923,0.130503979,0.050680432,-0.02635105,-0.070183486,-0.066600888,-0.017970402,-0.067276642,-0.05135603,0.012773723,0.002402402,-0.005991612,0.001808318
